Locus,Pubmed accession number
DENVVA,['3803928']
DEN2CGA,"['2964755', '2714651']"
AY324624,['15332281']
AY324623,['15332281']
AY324622,['15332281']
AY324621,['15332281']
AY324620,['15332281']
AY324619,['15332281']
AY324618,['15332281']
AY324617,['15332281']
AY324616,['15332281']
AY324615,['15332281']
AY324614,['15332281']
DENENVH,['2719554']
DENENVGLPP,['8212556']
DENENVGLPO,['8212556']
DENENVGLPN,['8212556']
DENENVGLPM,['8212556']
DENENVGLPL,['8212556']
DENENVGLPK,['8212556']
DENENVGLPJ,['8212556']
DENENVGLPI,['8212556']
DENENVGLPH,['8212556']
DENENVGLPG,['8212556']
DENENVGLPE,['8212556']
DENENVGLPD,['8212556']
DENENVGLPC,['8212556']
DENENVGLPB,['8212556']
DENENVGLPA,['8212556']
DENENVG,['2719554']
DENENVF,['2719554']
DENENVE,['2719554']
DENENVD,['2719554']
DENENVC,['2719554']
DENENVB,['2719554']
DENENVA,['2719554']
DEN2NS1H,['1829885']
DEN2NS1G,['1829885']
DEN2NS1F,['1829885']
DEN2NS1E,['1829885']
DEN2NS1D,['1829885']
DEN2NS1C,['1829885']
DEN2NS1B,['1829885']
DEN2NS1A,['1829885']
AF038403,"['3385407', '9519821']"
AF038402,"['3385407', '9519821']"
EU003591,['18570968']
DENCMEMSB,"['2719554', '1829885', '1312269']"
DENCMEMSA,"['2719554', '1829885', '1312269']"
DENRCG,['2827375']
DENAAA,['2828633']
LC436675,['31351235']
LC436674,['31351235']
LC436673,['31351235']
LC436672,['31351235']
LC436671,['31351235']
LC436670,['31351235']
LC436669,['31351235']
MW512482,['34188091']
MW512481,['34188091']
MW512480,['34188091']
MW512479,['34188091']
MW512478,['34188091']
MW512477,['34188091']
MW512476,['34188091']
MW512475,['34188091']
MW512474,['34188091']
MW512473,['34188091']
MW512472,['34188091']
MW512471,['34188091']
MW510869,['34188091']
MW510613,['34188091']
MW510357,['34188091']
MW512498,['34188091']
MW512497,['34188091']
MW512496,['34188091']
MW512495,['34188091']
MW512494,['34188091']
MW512493,['34188091']
MW512492,['34188091']
MW512491,['34188091']
MW512490,['34188091']
MW512489,['34188091']
MW512488,['34188091']
MW512487,['34188091']
MW512486,['34188091']
MW512485,['34188091']
MW512484,['34188091']
MW512483,['34188091']
MW512470,['34188091']
MW512469,['34188091']
MW512468,['34188091']
